t;entree;sortie;frequence
      0 ns;   0;   0;5.000000e+03
  10000 ns;  39;   0;5.000000e+03
  20000 ns;  75; -61;5.000000e+03
  30000 ns; 103;   0;5.000000e+03
  40000 ns; 121;   0;5.000000e+03
  50000 ns; 127;  -1;5.000000e+03
  60000 ns; 121;   6;5.000000e+03
  70000 ns; 103;  32;5.000000e+03
  80000 ns;  75;  64;5.000000e+03
  90000 ns;  39;  90;5.000000e+03
 100000 ns;   0; 106;5.000000e+03
 110000 ns; -39; 111;5.000000e+03
 120000 ns; -75; 106;5.000000e+03
 130000 ns;-103;  90;5.000000e+03
 140000 ns;-121;  64;5.000000e+03
 150000 ns;-127;  33;5.000000e+03
 160000 ns;-121;  -1;5.000000e+03
 170000 ns;-103; -35;5.000000e+03
 180000 ns; -75; -66;5.000000e+03
 190000 ns; -39; -91;5.000000e+03
 200000 ns;   0;-106;5.000000e+03
 210000 ns;  39;-111;5.000000e+03
 220000 ns;  75;-106;5.000000e+03
 230000 ns; 103; -90;5.000000e+03
 240000 ns; 121; -64;5.000000e+03
 250000 ns; 127; -33;5.000000e+03
 260000 ns; 121;   1;5.000000e+03
 270000 ns; 103;  35;5.000000e+03
 280000 ns;  75;  66;5.000000e+03
 290000 ns;  39;  91;5.000000e+03
 300000 ns;   0; 106;5.000000e+03
 310000 ns; -39; 111;5.000000e+03
 320000 ns; -75; 106;5.000000e+03
 330000 ns;-103;  90;5.000000e+03
 340000 ns;-121;  64;5.000000e+03
 350000 ns;-127;  33;5.000000e+03
 360000 ns;-121;  -1;5.000000e+03
 370000 ns;-103; -35;5.000000e+03
 380000 ns; -75; -66;5.000000e+03
 390000 ns; -39; -91;5.000000e+03
 400000 ns;   0;-106;5.000000e+03
 410000 ns;  39;-111;5.000000e+03
 420000 ns;  75;-106;5.000000e+03
 430000 ns; 103; -90;5.000000e+03
 440000 ns; 121; -64;5.000000e+03
 450000 ns; 127; -33;5.000000e+03
 460000 ns; 121;   1;5.000000e+03
 470000 ns; 103;  35;5.000000e+03
 480000 ns;  75;  66;5.000000e+03
 490000 ns;  39;  91;5.000000e+03
